Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,social_agent,161.07,mice back in,Not defined,POINT,324.464,324.464,NA,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9085,9085,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,326.429,326.714,0.285,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9140,9148,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,327.286,327.786,0.500,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9164,9178,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,330.857,331.464,0.607,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9264,9281,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,facial sniffing,Not defined,STATE,335.893,337.250,1.357,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9405,9443,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,340.571,341.107,0.536,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9536,9551,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,342.500,342.786,0.286,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9590,9598,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,343.179,344.357,1.178,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9609,9642,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,facial sniffing,Not defined,STATE,346.214,347.321,1.107,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9694,9725,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,facial sniffing,Not defined,STATE,349.321,349.536,0.215,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9781,9787,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,350.179,350.393,0.214,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9805,9811,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,facial sniffing,Not defined,STATE,350.571,351.821,1.250,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9816,9851,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,353.321,353.500,0.179,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9893,9898,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,facial sniffing,Not defined,STATE,353.607,353.857,0.250,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9901,9908,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,354.929,355.500,0.571,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9938,9954,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,facial sniffing,Not defined,STATE,356.036,356.357,0.321,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9969,9978,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,356.786,357.571,0.785,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,9990,10012,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,360.750,361.107,0.357,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,10101,10111,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,362.536,363.429,0.893,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,10151,10176,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,363.893,365.821,1.928,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,10189,10243,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,367.321,367.857,0.536,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,10285,10300,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,368.179,368.464,0.285,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,10309,10317,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,social_agent,161.07,anogenital sniffing,Not defined,STATE,369.071,369.357,0.286,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,10334,10342,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,369.893,370.893,1.000,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,10357,10385,,,,
21_nov_p1,2024-10-16 11:50:52.548,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,0.0,913.250,1241.357,28.000,subject,177.631,anogenital sniffing,Not defined,STATE,372.500,372.750,0.250,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/21_nov_p1/21_nov_p1_converted.mp4,10430,10437,,,,
