Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
31_nov_p1,2024-10-16 12:54:34.747,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,0.0,942.815,1287.333,27.000,social_agent,82.676,mice back in,Not defined,POINT,336.185,336.185,NA,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,9077,9077,,,,
31_nov_p1,2024-10-16 12:54:34.747,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,0.0,942.815,1287.333,27.000,subject,86.966,facial sniffing,Not defined,STATE,348.222,350.370,2.148,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,9402,9460,,,,
31_nov_p1,2024-10-16 12:54:34.747,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,0.0,942.815,1287.333,27.000,social_agent,82.676,facial sniffing,Not defined,STATE,354.222,355.259,1.037,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,9564,9592,,,,
31_nov_p1,2024-10-16 12:54:34.747,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,0.0,942.815,1287.333,27.000,social_agent,82.676,facial sniffing,Not defined,STATE,371.111,371.593,0.482,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,10020,10033,,,,
31_nov_p1,2024-10-16 12:54:34.747,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,0.0,942.815,1287.333,27.000,subject,86.966,anogenital sniffing,Not defined,STATE,377.259,377.667,0.408,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,10186,10197,,,,
31_nov_p1,2024-10-16 12:54:34.747,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,0.0,942.815,1287.333,27.000,subject,86.966,anogenital sniffing,Not defined,STATE,378.000,378.889,0.889,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,10206,10230,,,,
31_nov_p1,2024-10-16 12:54:34.747,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,0.0,942.815,1287.333,27.000,subject,86.966,facial sniffing,Not defined,STATE,383.185,385.407,2.222,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,10346,10406,,,,
31_nov_p1,2024-10-16 12:54:34.747,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,0.0,942.815,1287.333,27.000,subject,86.966,facial sniffing,Not defined,STATE,389.593,390.556,0.963,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,10519,10545,,,,
31_nov_p1,2024-10-16 12:54:34.747,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,0.0,942.815,1287.333,27.000,social_agent,82.676,facial sniffing,Not defined,STATE,408.000,408.556,0.556,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,11016,11031,,,,
31_nov_p1,2024-10-16 12:54:34.747,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,0.0,942.815,1287.333,27.000,subject,86.966,facial sniffing,Not defined,STATE,410.259,411.593,1.334,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,11077,11113,,,,
31_nov_p1,2024-10-16 12:54:34.747,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,0.0,942.815,1287.333,27.000,subject,86.966,anogenital sniffing,Not defined,STATE,414.333,415.074,0.741,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/31_nov_p1/31_nov_p1_converted.mp4,11187,11207,,,,
