Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	No focal subject	0.0	mice back in	Not defined	POINT	630.600	630.600	NA	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9459	9459				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	facial sniffing	Not defined	STATE	631.800	632.866	1.066	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9477	NA				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	social_agent	349.416	facial sniffing	Not defined	STATE	631.867	632.733	0.866	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9478	9491				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	anogenital sniffing	Not defined	STATE	632.867	635.467	2.600	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9493	9532				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	anogenital sniffing	Not defined	STATE	636.533	640.000	3.467	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9548	9600				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	facial sniffing	Not defined	STATE	643.333	644.733	1.400	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9650	9671				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	anogenital sniffing	Not defined	STATE	644.867	644.933	0.066	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9673	9674				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	anogenital sniffing	Not defined	STATE	646.800	648.266	1.466	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9702	NA				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	facial sniffing	Not defined	STATE	648.267	648.867	0.600	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9724	9733				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	anogenital sniffing	Not defined	STATE	649.067	649.133	0.066	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9736	9737				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	anogenital sniffing	Not defined	STATE	651.133	652.000	0.867	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9767	9780				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	social_agent	349.416	anogenital sniffing	Not defined	STATE	655.200	656.467	1.267	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9828	9847				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	social_agent	349.416	anogenital sniffing	Not defined	STATE	662.200	662.999	0.799	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9933	NA				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	facial sniffing	Not defined	STATE	663.000	663.866	0.866	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9945	NA				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	social_agent	349.416	facial sniffing	Not defined	STATE	663.000	663.467	0.467	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9945	9952				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	anogenital sniffing	Not defined	STATE	663.867	664.266	0.399	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9958	NA				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	subject	132.77	facial sniffing	Not defined	STATE	664.267	666.866	2.599	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9964	NA				
11_cage_p1 Achziger	2024-09-23 16:44:11.116	Anastasia Achziger BORIS 11_cage_p1 	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	0.0	1729.733	2370.733	15.000	social_agent	349.416	facial sniffing	Not defined	STATE	664.600	666.200	1.600	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/11_cage_p1_converted.mp4	9969	9993				
