Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,subject,facial sniffing,,,STATE,673.562,673.875,0.313,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,social_agent,anogenital sniffing,,,STATE,678.125,678.438,0.313,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,social_agent,facial sniffing,,,STATE,680.750,681.125,0.375,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,subject,facial sniffing,,,STATE,681.562,683.125,1.563,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,subject,facial sniffing,,,STATE,692.875,695.312,2.437,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,social_agent,facial sniffing,,,STATE,692.938,695.250,2.312,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,subject,facial sniffing,,,STATE,703.812,704.188,0.376,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,social_agent,facial sniffing,,,STATE,703.812,704.188,0.376,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,subject,anogenital sniffing,,,STATE,706.250,706.438,0.188,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,social_agent,facial sniffing,,,STATE,706.438,707.125,0.687,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,subject,facial sniffing,,,STATE,708.750,710.562,1.812,,
