Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	social_agent	163.932	mice back in	Not defined	POINT	601.733	601.733	NA	C:/lab/Social Memory/31_cage_p1_converted.mp4	9026	9026				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	facial sniffing	Not defined	STATE	603.000	603.333	0.333	C:/lab/Social Memory/31_cage_p1_converted.mp4	9045	9050				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	social_agent	163.932	facial sniffing	Not defined	STATE	603.467	603.800	0.333	C:/lab/Social Memory/31_cage_p1_converted.mp4	9052	9057				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	facial sniffing	Not defined	STATE	603.933	604.267	0.334	C:/lab/Social Memory/31_cage_p1_converted.mp4	9059	9064				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	anogenital sniffing	Not defined	STATE	604.867	605.400	0.533	C:/lab/Social Memory/31_cage_p1_converted.mp4	9073	9081				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	social_agent	163.932	anogenital sniffing	Not defined	STATE	610.000	610.733	0.733	C:/lab/Social Memory/31_cage_p1_converted.mp4	9150	9161				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	anogenital sniffing	Not defined	STATE	611.867	612.667	0.800	C:/lab/Social Memory/31_cage_p1_converted.mp4	9178	9190				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	facial sniffing	Not defined	STATE	619.133	619.467	0.334	C:/lab/Social Memory/31_cage_p1_converted.mp4	9287	9292				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	social_agent	163.932	facial sniffing	Not defined	STATE	619.200	619.533	0.333	C:/lab/Social Memory/31_cage_p1_converted.mp4	9288	9293				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	anogenital sniffing	Not defined	STATE	619.467	619.933	0.466	C:/lab/Social Memory/31_cage_p1_converted.mp4	9292	9299				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	facial sniffing	Not defined	STATE	622.733	623.200	0.467	C:/lab/Social Memory/31_cage_p1_converted.mp4	9341	9348				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	social_agent	163.932	facial sniffing	Not defined	STATE	622.733	623.200	0.467	C:/lab/Social Memory/31_cage_p1_converted.mp4	9341	9348				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	anogenital sniffing	Not defined	STATE	623.467	623.867	0.400	C:/lab/Social Memory/31_cage_p1_converted.mp4	9352	9358				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	facial sniffing	Not defined	STATE	629.933	630.200	0.267	C:/lab/Social Memory/31_cage_p1_converted.mp4	9449	9453				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	anogenital sniffing	Not defined	STATE	637.467	638.467	1.000	C:/lab/Social Memory/31_cage_p1_converted.mp4	9562	9577				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	anogenital sniffing	Not defined	STATE	639.933	640.400	0.467	C:/lab/Social Memory/31_cage_p1_converted.mp4	9599	9606				
31_cage_p1	2024-10-02 12:09:21.222		Media file	player #1:C:/lab/Social Memory/31_cage_p1_converted.mp4	0.0	1737.400	2340.533	15.000	subject	153.739	anogenital sniffing	Not defined	STATE	642.200	644.000	1.800	C:/lab/Social Memory/31_cage_p1_converted.mp4	9633	9660				
