Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,698.867,699.200,0.333,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,701.267,701.667,0.400,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,701.533,702.333,0.800,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,702.667,704.867,2.200,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,703.200,703.667,0.467,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,712.267,712.667,0.400,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,712.867,721.200,8.333,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,721.333,724.800,3.467,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,721.400,725.000,3.600,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,725.933,732.000,6.067,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,727.933,730.600,2.667,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,733.267,740.932,7.665,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,740.933,743.866,2.933,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,743.867,750.133,6.266,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,752.333,754.867,2.534,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,755.600,756.467,0.867,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,756.467,757.067,0.600,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,759.400,760.000,0.600,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,761.000,761.999,0.999,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,762.000,766.800,4.800,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,765.267,766.200,0.933,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,789.733,790.067,0.334,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,789.800,790.333,0.533,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,791.200,794.133,2.933,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,795.533,803.932,8.399,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,803.933,806.932,2.999,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,806.933,808.532,1.599,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,808.533,812.467,3.934,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,809.667,812.333,2.666,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,812.933,816.266,3.333,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,816.267,817.199,0.932,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,817.200,819.199,1.999,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,fighting,,,STATE,819.200,820.067,0.867,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,823.867,824.666,0.799,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,824.667,826.200,1.533,,
