Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
12_nov_AC_observations,2024-10-08 11:05:06.032,,Media file,player #1:C:/Users/anate/Downloads/12_nov_p1_converted.mp4,0.0,1704.733,2341.400,15.000,social_agent,47.2,mice back in,Not defined,POINT,602.867,602.867,NA,C:/Users/anate/Downloads/12_nov_p1_converted.mp4,9043,9043,,,,
12_nov_AC_observations,2024-10-08 11:05:06.032,,Media file,player #1:C:/Users/anate/Downloads/12_nov_p1_converted.mp4,0.0,1704.733,2341.400,15.000,subject,346.372,facial sniffing,Not defined,STATE,606.400,607.600,1.200,C:/Users/anate/Downloads/12_nov_p1_converted.mp4,9096,9114,,,,
12_nov_AC_observations,2024-10-08 11:05:06.032,,Media file,player #1:C:/Users/anate/Downloads/12_nov_p1_converted.mp4,0.0,1704.733,2341.400,15.000,social_agent,47.2,facial sniffing,Not defined,STATE,606.467,607.333,0.866,C:/Users/anate/Downloads/12_nov_p1_converted.mp4,9097,9110,,,,
12_nov_AC_observations,2024-10-08 11:05:06.032,,Media file,player #1:C:/Users/anate/Downloads/12_nov_p1_converted.mp4,0.0,1704.733,2341.400,15.000,subject,346.372,facial sniffing,Not defined,STATE,608.467,609.400,0.933,C:/Users/anate/Downloads/12_nov_p1_converted.mp4,9127,9141,,,,
12_nov_AC_observations,2024-10-08 11:05:06.032,,Media file,player #1:C:/Users/anate/Downloads/12_nov_p1_converted.mp4,0.0,1704.733,2341.400,15.000,subject,346.372,anogenital sniffing,Not defined,STATE,609.400,609.933,0.533,C:/Users/anate/Downloads/12_nov_p1_converted.mp4,9141,9149,,,,
12_nov_AC_observations,2024-10-08 11:05:06.032,,Media file,player #1:C:/Users/anate/Downloads/12_nov_p1_converted.mp4,0.0,1704.733,2341.400,15.000,subject,346.372,anogenital sniffing,Not defined,STATE,617.333,620.733,3.400,C:/Users/anate/Downloads/12_nov_p1_converted.mp4,9260,9311,,,,
12_nov_AC_observations,2024-10-08 11:05:06.032,,Media file,player #1:C:/Users/anate/Downloads/12_nov_p1_converted.mp4,0.0,1704.733,2341.400,15.000,subject,346.372,anogenital sniffing,Not defined,STATE,627.067,629.399,2.332,C:/Users/anate/Downloads/12_nov_p1_converted.mp4,9406,NA,,,,
12_nov_AC_observations,2024-10-08 11:05:06.032,,Media file,player #1:C:/Users/anate/Downloads/12_nov_p1_converted.mp4,0.0,1704.733,2341.400,15.000,subject,346.372,facial sniffing,Not defined,STATE,629.400,630.066,0.666,C:/Users/anate/Downloads/12_nov_p1_converted.mp4,9441,NA,,,,
12_nov_AC_observations,2024-10-08 11:05:06.032,,Media file,player #1:C:/Users/anate/Downloads/12_nov_p1_converted.mp4,0.0,1704.733,2341.400,15.000,subject,346.372,anogenital sniffing,Not defined,STATE,630.067,631.000,0.933,C:/Users/anate/Downloads/12_nov_p1_converted.mp4,9451,9465,,,,
12_nov_AC_observations,2024-10-08 11:05:06.032,,Media file,player #1:C:/Users/anate/Downloads/12_nov_p1_converted.mp4,0.0,1704.733,2341.400,15.000,subject,346.372,anogenital sniffing,Not defined,STATE,632.200,633.667,1.467,C:/Users/anate/Downloads/12_nov_p1_converted.mp4,9483,9505,,,,
